Datetime,Banda_A,Banda_B,Banda_C
2026-08-15 16:00:00,177.20294444,83.97508333,35.00588611
2026-08-15 17:00:00,176.41061111,83.18527778,34.88730833
2026-08-15 18:00:00,176.16386111,82.04591667,34.67863333
2026-08-15 19:00:00,176.15208914,81.66627778,34.59603064
2026-08-15 20:00:00,176.17361111,82.05972222,34.65173333
2026-08-15 21:00:00,176.18186722,82.41670833,34.71587552
2026-08-15 23:00:00,173.36482143,78.89053571,29.75582143
2026-08-16 00:00:00,173.17961111,78.97911111,29.75001389
2026-08-16 01:00:00,173.02419444,79.29722222,29.93988333
2026-08-16 02:00:00,173.48450000,79.37438889,30.25633056
2026-08-16 03:00:00,174.54455556,78.88627778,30.49294722
2026-08-16 04:00:00,175.51094444,78.49611111,30.62241389
2026-08-16 05:00:00,175.78594444,79.31991667,30.68523056
2026-08-16 06:00:00,175.55958333,81.52702778,30.68805000
2026-08-16 07:00:00,175.35036789,83.95566667,30.66129766
2026-08-16 09:00:00,180.55109890,85.06930556,34.96816484
2026-08-16 10:00:00,180.54316667,83.95750000,34.95661944
2026-08-16 11:00:00,180.52211382,82.65647222,34.94158943
2026-08-16 13:00:00,175.91386760,80.91630556,33.61832056
2026-08-16 14:00:00,176.25805556,80.80250000,32.52919444
2026-08-16 15:00:00,176.29236111,81.13086111,31.07181944
2026-08-16 16:00:00,175.38725000,81.38761111,30.27700833
2026-08-16 17:00:00,173.60116667,80.98788889,30.31353611
2026-08-16 18:00:00,171.77433333,79.77680556,30.59340833
2026-08-16 19:00:00,170.77505556,78.06211111,30.65640278
2026-08-16 20:00:00,170.67450000,76.34038889,30.58946944
2026-08-16 21:00:00,170.89938889,75.17780556,30.59036667
2026-08-16 22:00:00,171.01992593,75.08341667,30.63265556
2026-08-16 23:00:00,175.74512195,76.17552778,30.18641463
2026-08-17 00:00:00,175.78336111,78.02836111,30.04910556
2026-08-17 01:00:00,176.33086111,79.94375000,30.64750833
2026-08-17 02:00:00,177.21805556,81.42319444,32.45411944
2026-08-17 03:00:00,177.66866667,82.43241667,34.56363333
2026-08-17 04:00:00,177.46847222,83.14363889,35.84922500
2026-08-17 05:00:00,177.21825000,83.45866667,36.07565278
2026-08-17 06:00:00,177.30733333,83.11888889,35.84879444
2026-08-17 07:00:00,177.49311321,82.27527778,35.69455031
2026-08-17 09:00:00,177.73000000,80.84883333,35.17811176
2026-08-17 10:00:00,177.73000000,80.44347222,35.16567778
2026-08-17 11:00:00,177.73000000,80.17997222,35.14111604
2026-08-17 13:00:00,175.08476534,79.98791667,33.36161733
2026-08-17 14:00:00,175.45194444,79.53291667,33.39269444
2026-08-17 15:00:00,176.29705556,78.92622222,32.54440000
2026-08-17 16:00:00,176.94455556,78.79741667,31.07308611
2026-08-17 17:00:00,176.89688889,79.31697222,30.09045278
2026-08-17 18:00:00,176.44077778,79.89322222,30.01549722
2026-08-17 19:00:00,176.22602778,80.01102778,30.19018889
2026-08-17 20:00:00,176.37483333,79.83491667,30.12351389
2026-08-17 21:00:00,176.54833333,79.71336879,29.98457801
2026-08-17 23:00:00,175.04444444,80.98000000,34.49922222
2026-08-18 00:00:00,175.34286111,80.88180556,34.26423056
2026-08-18 01:00:00,176.15727778,80.64044444,33.29156944
2026-08-18 02:00:00,176.80450000,80.66263889,32.26928889
2026-08-18 03:00:00,176.94366667,80.98672222,32.06479444
2026-08-18 04:00:00,176.85841667,81.15458333,32.51827778
2026-08-18 05:00:00,176.86622222,80.92863889,32.79990000
2026-08-18 06:00:00,176.93325000,80.56461111,32.65006389
2026-08-18 07:00:00,176.95545994,80.12575000,32.43961424
2026-08-18 09:00:00,176.33171975,77.73377778,34.45560510
2026-08-18 10:00:00,176.32763889,76.75033333,34.43632222
2026-08-18 11:00:00,176.31439169,77.49394444,34.40129377
2026-08-18 13:00:00,180.33000000,82.95522222,34.84021591
2026-08-18 14:00:00,180.33000000,84.65875000,34.84255556
2026-08-18 15:00:00,181.14744444,84.81319444,36.99257778
2026-08-18 16:00:00,180.80894444,84.25761111,36.83817222
2026-08-18 17:00:00,179.79608333,83.71375000,35.92689444
2026-08-18 18:00:00,178.82702778,83.29927778,34.74562778
2026-08-18 19:00:00,178.52655556,83.07363889,34.27997222
2026-08-18 20:00:00,178.74269444,83.11308333,34.57300833
2026-08-18 21:00:00,178.96351792,83.24257329,34.91732248
2026-08-18 23:00:00,171.45812500,79.19875000,31.53212500
2026-08-19 00:00:00,171.65538889,79.25436111,31.72783611
2026-08-19 01:00:00,172.06422222,79.23780556,32.22236944
2026-08-19 02:00:00,172.52697222,79.06572222,32.68799722
2026-08-19 03:00:00,173.14577778,78.93288889,32.87128611
2026-08-19 04:00:00,173.79236111,79.15430556,32.79411667
2026-08-19 05:00:00,174.10211111,79.97325000,32.71686389
2026-08-19 06:00:00,174.00747222,81.24163889,32.75836389
2026-08-19 07:00:00,173.82442254,82.33841667,32.82336620
2026-08-19 09:00:00,177.74324324,82.52691667,34.87321622
2026-08-19 10:00:00,177.75577778,82.54863889,34.85928611
2026-08-19 11:00:00,177.77141667,83.00266667,34.82275278
2026-08-19 12:00:00,177.78000000,83.35461111,34.81277273
2026-08-19 13:00:00,175.14542969,83.26655556,33.52543359
2026-08-19 14:00:00,176.06119444,83.18175000,33.15352222
2026-08-19 15:00:00,178.30883333,83.48322222,33.06062778
2026-08-19 16:00:00,180.61169444,83.67580556,33.57319722
2026-08-19 17:00:00,181.62966667,83.10500000,34.49620833
2026-08-19 18:00:00,181.36627778,82.11050000,35.24684722
2026-08-19 19:00:00,180.97566667,81.64805556,35.43728056
2026-08-19 20:00:00,181.09836111,81.88391667,35.27198611
2026-08-19 21:00:00,181.37957317,82.20782875,35.13086890
2026-08-20 00:00:00,174.62525316,80.46886076,29.67643038
2026-08-20 01:00:00,175.07166667,80.78105556,29.88441111
2026-08-20 02:00:00,175.96355556,81.27941667,30.72243333
2026-08-20 03:00:00,176.95133333,81.69463889,32.09921389
2026-08-20 04:00:00,177.68805556,81.64688889,33.34992500
2026-08-20 05:00:00,177.95516667,80.96225000,33.82544444
2026-08-20 06:00:00,177.86358333,79.92161111,33.63561667
2026-08-20 07:00:00,177.72152778,79.01422222,33.36398611
2026-08-20 08:00:00,177.68733333,78.46236111,33.29693333
2026-08-20 09:00:00,175.15000000,78.12444444,31.70256835
2026-08-20 10:00:00,175.17905292,77.86758333,31.69347632
2026-08-20 11:00:00,175.26183333,77.75102778,31.65545278
2026-08-20 12:00:00,175.29083333,77.80600000,31.63985417
2026-08-20 13:00:00,177.60457265,77.96613889,33.12153846
2026-08-20 14:00:00,177.57250000,78.38852778,33.04751944
2026-08-20 15:00:00,177.87744444,79.39033333,33.10242500
2026-08-20 16:00:00,178.30602778,80.82183333,33.33850278
2026-08-20 17:00:00,178.45197222,81.89144444,33.52881944
2026-08-20 18:00:00,178.23994444,82.00061111,33.48037222
2026-08-20 19:00:00,178.03091667,81.49463889,33.35055833
2026-08-20 20:00:00,178.07116667,81.19936111,33.35299444
2026-08-20 21:00:00,178.17650000,81.34466667,33.41284375
2026-08-20 22:00:00,178.23193939,81.55744479,33.44832121
2026-08-21 01:00:00,175.98686869,77.58222222,31.90733333
2026-08-21 02:00:00,176.16886111,77.65441667,32.52140833
2026-08-21 03:00:00,176.55662953,78.18975000,34.15775487
2026-08-21 04:00:00,176.91905028,79.34836111,35.56158380
2026-08-21 05:00:00,177.09263889,80.98930556,35.95628056
2026-08-21 06:00:00,177.06994444,82.74025000,35.72820278
2026-08-21 07:00:00,176.99205556,84.10161111,35.52304167
2026-08-21 08:00:00,176.96878788,84.60944444,35.48821212
2026-08-21 09:00:00,176.67781955,84.09872222,37.02530827
2026-08-21 10:00:00,177.29783333,82.91361111,36.95730278
2026-08-21 11:00:00,178.95108333,81.81722222,36.23809444
2026-08-21 12:00:00,180.52995215,81.53033333,35.15033971
2026-08-21 13:00:00,181.58892116,82.24666667,34.18523237
2026-08-21 14:00:00,182.32830556,83.52038889,33.24477222
2026-08-21 15:00:00,182.06362117,84.66255556,32.88646240
2026-08-21 16:00:00,180.82491667,85.24180556,32.94145556
2026-08-21 17:00:00,179.34897222,85.22777778,32.70269167
2026-08-21 18:00:00,178.31905292,84.87808333,32.15723955
2026-08-21 19:00:00,177.99691667,84.61108333,31.84574444
2026-08-21 20:00:00,178.13544444,84.64463889,31.94858889
2026-08-21 21:00:00,178.31733333,84.79613889,32.14568889
2026-08-21 22:00:00,178.37000000,84.86000000,32.21300000
2026-08-22 00:00:00,174.78152493,77.47222874,29.51532551
2026-08-22 01:00:00,175.28325000,78.90652778,30.01619444
2026-08-22 02:00:00,176.11602778,80.94261111,30.89206667
2026-08-22 03:00:00,176.78783333,82.59816667,31.84105000
2026-08-22 04:00:00,177.01016667,83.54383333,32.58475556
2026-08-22 05:00:00,176.96183333,83.83722222,32.91370278
2026-08-22 06:00:00,176.94302778,83.22405556,32.85783333
2026-08-22 07:00:00,176.99494444,81.42697222,32.70082778
2026-08-22 08:00:00,177.02075472,79.09886111,32.64866038
2026-08-22 09:00:00,179.76462687,77.84000000,35.07581343
2026-08-22 10:00:00,179.86247222,78.91438889,34.75075278
2026-08-22 11:00:00,180.07722222,81.95913889,33.73027500
2026-08-22 12:00:00,180.48229927,85.04941667,32.64148905
2026-08-22 13:00:00,180.97982609,86.17919444,32.05503913
2026-08-22 14:00:00,181.56547222,84.90297222,31.92815556
2026-08-22 15:00:00,181.94422222,82.61869444,32.19311667
2026-08-22 16:00:00,181.92022222,81.23877778,32.31421667
2026-08-22 17:00:00,181.79666667,81.49244444,32.16863611
2026-08-22 18:00:00,181.75686869,82.48569444,32.04612121
2026-08-25 09:00:00,183.73953488,85.34447222,35.61018605
2026-08-25 10:00:00,183.93130556,86.63944444,35.59611944
2026-08-25 11:00:00,183.89761111,87.09358333,35.47945000
2026-08-25 12:00:00,183.18997222,86.54238889,35.29349722
2026-08-25 13:00:00,182.18786111,85.46994444,35.17558333
2026-08-25 14:00:00,181.59775000,84.75119444,35.15952500
2026-08-25 15:00:00,181.64794444,84.77847222,35.16986944
2026-08-25 16:00:00,181.91477778,85.10597222,35.16598889
2026-08-25 17:00:00,182.02450980,85.24950980,35.16221569
2026-08-26 03:00:00,178.80318841,81.38898551,36.63223188
2026-08-26 04:00:00,178.74036111,81.54741667,36.44066944
2026-08-26 05:00:00,178.71444444,82.44255556,36.10297778
2026-08-26 06:00:00,178.74502778,83.77505556,36.04034444
2026-08-26 07:00:00,178.76338889,84.68047222,36.19766944
2026-08-26 08:00:00,178.76000000,84.74294444,36.29600763
2026-08-26 09:00:00,182.08283721,84.53025000,34.77505116
2026-08-26 10:00:00,181.56966667,84.86330556,35.03758611
2026-08-26 11:00:00,180.75477778,85.59316667,35.19582500
2026-08-26 12:00:00,179.99541667,85.67008333,35.25294722
2026-08-26 13:00:00,179.31816667,84.55272222,35.44393889
2026-08-26 14:00:00,178.66338889,82.94363889,35.68724722
2026-08-26 15:00:00,178.03402778,81.74041667,35.41033333
2026-08-26 16:00:00,177.15361111,80.75569444,34.02883889
2026-08-26 17:00:00,175.49019444,79.02227778,31.67398056
2026-08-26 18:00:00,173.19916667,76.20011111,29.36548056
2026-08-26 19:00:00,171.55436111,73.06505556,28.19120000
2026-08-26 20:00:00,171.43986111,70.52597222,28.22780278
2026-08-26 21:00:00,172.09363889,68.79066667,28.64354167
2026-08-26 22:00:00,172.45020408,67.84294444,28.82574830
2026-08-27 00:00:00,169.35888889,70.34863889,33.21228620
2026-08-27 01:00:00,170.74836111,74.21122222,33.37985556
2026-08-27 02:00:00,173.92000000,78.70047222,33.88213056
2026-08-27 03:00:00,177.73738889,82.59725000,34.69686389
2026-08-27 04:00:00,180.71952778,85.11430556,35.69807222
2026-08-27 05:00:00,181.97580556,86.02497222,36.45613333
2026-08-27 06:00:00,181.58427778,85.56047222,36.42179167
2026-08-27 07:00:00,180.29686111,84.21833333,35.60532500
2026-08-27 08:00:00,179.31701987,82.58505556,34.96838411
2026-08-27 09:00:00,178.75278970,81.37541667,34.76248927
2026-08-27 10:00:00,178.30650000,81.36833333,35.09697778
2026-08-27 11:00:00,178.28658333,82.73516667,36.15197222
2026-08-27 12:00:00,178.20975000,84.41166667,36.82171111
2026-08-27 13:00:00,177.38755556,84.77769444,36.18450833
2026-08-27 14:00:00,175.93080780,83.15791086,34.51886630
2026-08-27 15:00:00,174.68222222,80.23727778,32.87053056
